Periods,Region,Price
2005,Hardinxveld-Giessendam,237991.0
2006,Hardinxveld-Giessendam,237295.0
2007,Hardinxveld-Giessendam,250357.0
2008,Hardinxveld-Giessendam,254301.0
2009,Hardinxveld-Giessendam,223537.0
2010,Hardinxveld-Giessendam,234917.0
2011,Hardinxveld-Giessendam,234920.0
2012,Hardinxveld-Giessendam,216192.0
2013,Hardinxveld-Giessendam,226069.0
2014,Hardinxveld-Giessendam,230829.0
2015,Hardinxveld-Giessendam,203843.0
2016,Hardinxveld-Giessendam,221844.0
2017,Hardinxveld-Giessendam,246909.0
1995,Hellevoetsluis,91911.0
1996,Hellevoetsluis,97661.0
1997,Hellevoetsluis,100978.0
1998,Hellevoetsluis,107851.0
1999,Hellevoetsluis,121410.0
2000,Hellevoetsluis,146110.0
2001,Hellevoetsluis,160901.0
2002,Hellevoetsluis,165033.0
2003,Hellevoetsluis,186622.0
2004,Hellevoetsluis,193883.0
2005,Hellevoetsluis,211449.0
2006,Hellevoetsluis,220039.0
2007,Hellevoetsluis,221227.0
2008,Hellevoetsluis,223750.0
2009,Hellevoetsluis,218531.0
2010,Hellevoetsluis,209862.0
2011,Hellevoetsluis,221333.0
2012,Hellevoetsluis,205809.0
2013,Hellevoetsluis,197288.0
2014,Hellevoetsluis,200780.0
2015,Hellevoetsluis,201638.0
2016,Hellevoetsluis,216099.0
2017,Hellevoetsluis,238097.0
1995,Hendrik-Ido-Ambacht,102339.0
1996,Hendrik-Ido-Ambacht,104810.0
1997,Hendrik-Ido-Ambacht,119071.0
1998,Hendrik-Ido-Ambacht,135507.0
1999,Hendrik-Ido-Ambacht,151637.0
2000,Hendrik-Ido-Ambacht,163374.0
2001,Hendrik-Ido-Ambacht,188269.0
2002,Hendrik-Ido-Ambacht,204417.0
2003,Hendrik-Ido-Ambacht,213572.0
2004,Hendrik-Ido-Ambacht,210695.0
2005,Hendrik-Ido-Ambacht,218595.0
2006,Hendrik-Ido-Ambacht,239759.0
2007,Hendrik-Ido-Ambacht,254647.0
2008,Hendrik-Ido-Ambacht,250965.0
2009,Hendrik-Ido-Ambacht,237782.0
2010,Hendrik-Ido-Ambacht,216565.0
2011,Hendrik-Ido-Ambacht,230267.0
2012,Hendrik-Ido-Ambacht,240015.0
2013,Hendrik-Ido-Ambacht,215459.0
2014,Hendrik-Ido-Ambacht,190004.0
2015,Hendrik-Ido-Ambacht,216614.0
2016,Hendrik-Ido-Ambacht,238077.0
2017,Hendrik-Ido-Ambacht,258871.0
1995,Hillegom,109956.0
1996,Hillegom,123589.0
1997,Hillegom,135928.0
1998,Hillegom,142466.0
1999,Hillegom,170537.0
2000,Hillegom,202194.0
2001,Hillegom,220961.0
2002,Hillegom,234197.0
2003,Hillegom,257089.0
2004,Hillegom,237705.0
2005,Hillegom,240442.0
2006,Hillegom,252031.0
2007,Hillegom,270795.0
2008,Hillegom,270233.0
2009,Hillegom,256797.0
2010,Hillegom,241679.0
2011,Hillegom,253132.0
2012,Hillegom,247519.0
2013,Hillegom,212537.0
2014,Hillegom,220349.0
2015,Hillegom,212507.0
2016,Hillegom,235409.0
2017,Hillegom,269474.0
1995,Katwijk,108842.0
1996,Katwijk,123345.0
1997,Katwijk,136703.0
1998,Katwijk,146568.0
1999,Katwijk,162358.0
2000,Katwijk,178603.0
2001,Katwijk,206494.0
2002,Katwijk,221708.0
2003,Katwijk,227065.0
2004,Katwijk,223899.0
2005,Katwijk,235748.0
2006,Katwijk,262088.0
